Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Utah Jazz,64,15385,40.7,85.8,.475,13.4,34.9,.383,27.3,50.9,.537,17.8,23.1,.772,9.0,36.8,45.7,22.5,6.0,4.1,15.1,20.3,112.6
21,Oklahoma City Thunder,64,15460,40.6,85.8,.473,10.5,29.6,.355,30.1,56.2,.536,19.9,25.0,.797,8.1,34.8,43.0,22.0,7.7,5.1,13.6,19.0,111.6
22,Brooklyn Nets,64,15560,39.0,87.9,.444,12.6,36.9,.340,26.4,50.9,.519,17.5,23.6,.744,10.6,36.7,47.3,23.5,6.3,4.5,15.1,20.2,108.1
23,Detroit Pistons,66,15965,40.0,87.2,.459,12.2,33.2,.367,27.8,53.9,.515,16.9,22.7,.743,9.9,32.5,42.4,24.5,7.5,4.6,15.5,20.0,109.0
24,New York Knicks,66,15965,40.2,89.9,.447,9.6,28.5,.337,30.6,61.4,.499,16.4,23.6,.694,12.1,34.7,46.8,22.2,7.7,4.8,14.4,22.3,106.5
25,Sacramento Kings,64,15510,40.6,88.4,.459,12.7,34.9,.364,27.9,53.5,.522,15.7,20.5,.769,9.7,33.1,42.8,23.5,7.7,4.3,14.5,22.0,109.7
26,Cleveland Cavaliers,65,15725,40.5,88.4,.458,11.2,32.0,.351,29.3,56.4,.519,15.2,20.0,.758,10.9,33.6,44.5,23.2,6.9,3.3,16.6,18.4,107.5
27,Chicago Bulls,65,15675,39.5,88.5,.447,12.2,35.1,.348,27.3,53.5,.511,15.5,20.5,.755,10.4,31.4,41.8,23.2,10.0,4.1,15.4,21.8,106.7
28,Orlando Magic,65,15625,39.8,90.2,.442,11.1,32.5,.341,28.7,57.7,.498,17.2,22.4,.770,10.5,34.7,45.2,24.4,8.5,5.8,12.8,17.9,108.0
29,Golden State Warriors,65,15725,38.2,87.2,.438,10.3,30.9,.334,27.9,56.3,.495,18.5,23.0,.803,9.8,32.5,42.4,25.3,8.1,4.5,14.7,19.8,105.2
30,Charlotte Hornets,65,15750,38.6,88.8,.434,12.5,35.5,.352,26.1,53.4,.489,16.7,22.4,.748,11.4,32.9,44.2,24.6,6.8,4.3,15.1,19.5,106.3
