,Name,BLK%_pctile,STL%_pctile,Height_Inches_pctile,blk_pct
0,Sim Bhullar,0.9598345422936275,0.26766980396858703,0.999520412445297,26.3
1,Vince Hunter,0.5847071518494095,0.9521611414183802,0.4891793057970146,13.4
2,Tacko Fall,0.9635813200647443,0.3387986331754691,0.9998201546669864,11.2
3,Robert Williams 1,0.9437683592110785,0.8222528625382172,0.8272585576404292,10.1
4,Ike Anigbogu,0.9149931059289012,0.3713506384509322,0.8272585576404292,9.9
6,Daniel Gafford,0.902194113062766,0.8222528625382172,0.9175409148132606,8.7
7,Chris Boucher,0.9660991547269349,0.49799172711468137,0.8272585576404292,8.1
8,Mohamed Bamba,0.9773694622624542,0.7218092440501169,0.9175409148132606,8.0
9,Hassan Whiteside,0.993105928901145,0.5933097536118938,0.9637611653977579,7.5
10,A.J. Hammons,0.9508422756429471,0.3713506384509322,0.9637611653977579,7.2
11,Larry Sanders,0.9239553983574126,0.7587674599844134,0.9175409148132606,7.1
12,Bol Bol,0.9773694622624542,0.8222528625382172,0.9944547688987471,6.4
13,Bernard James,0.9337269947844854,0.7587674599844134,0.8272585576404292,6.4
14,Myles Turner,0.9723637671602422,0.4090582099394521,0.9175409148132606,6.4
15,John Henson,0.9359151130028176,0.5462202505844973,0.9175409148132606,6.2
16,Jarvis Varnado,0.9849829146933637,0.5933097536118938,0.6779269827947965,6.2
17,Jeff Withey,0.9824051315868353,0.6814339667885618,0.9637611653977579,6.2
18,Chris Silva,0.8927522330795515,0.8474611833822913,0.6779269827947965,6.0
19,Alex Stepheson,0.5847071518494095,0.3713506384509322,0.8272585576404292,6.0
20,Ekpe Udoh,0.9587554702955459,0.6814339667885618,0.8272585576404292,5.9
21,Brice Johnson,0.7506144715544631,0.9022540615071039,0.8272585576404292,5.8
22,Anthony Davis,0.9824051315868353,0.9370241592230681,0.8272585576404292,5.7
23,Cole Aldrich,0.9779989209280019,0.7587674599844134,0.9175409148132606,5.6
25,Eric Moreland,0.8216533780948384,0.6380612673101133,0.8272585576404292,5.5
26,Kyle O'Quinn,0.9239553983574126,0.5462202505844973,0.8272585576404292,5.5
27,Festus Ezeli,0.9209579761405191,0.5462202505844973,0.9175409148132606,5.3
28,Matt Costello,0.7427911995683713,0.7925484083688028,0.6779269827947965,5.2
29,Nerlens Noel,0.9794077093699418,0.9880103111324261,0.8272585576404292,5.2
30,Jakob Poeltl,0.6890773934416402,0.5933097536118938,0.9637611653977579,5.2
31,Jordan Bell 1,0.9052514837239973,0.9453869672082009,0.6779269827947965,5.1
32,Drew Eubanks,0.8160781727714166,0.4519213476410287,0.8272585576404292,5.0
34,Jaren Jackson Jr.,0.984413404472154,0.7587674599844134,0.9175409148132606,5.0
35,Erik Murphy,0.49937054133445236,0.7218092440501169,0.8272585576404292,5.0
36,Solomon Alabi,0.9508422756429471,0.6814339667885618,0.9867214195791619,4.9
37,Joel Embiid,0.9660991547269349,0.9158323841496313,0.9637611653977579,4.8
38,Dean Wade,0.3862178526467238,0.7925484083688028,0.8272585576404292,4.8
41,Jordan Mickey,0.9380732569989809,0.7218092440501169,0.4891793057970146,4.6
42,Dakari Johnson,0.7960853665847372,0.6814339667885618,0.9637611653977579,4.5
44,Ray Spalding,0.8100233798932918,0.9715844373838499,0.8272585576404292,4.5
45,Chris Wright 1,0.7818775852766621,0.7587674599844134,0.4891793057970146,4.5
46,Cliff Alexander,0.8744379833343324,0.3387986331754691,0.4891793057970146,4.4
47,Jarrett Allen,0.7078712307415622,0.49799172711468137,0.9175409148132606,4.4
48,Deyonta Davis,0.9470655236496613,0.4090582099394521,0.8272585576404292,4.4
49,Luke Kornet,0.8319944847431209,0.49799172711468137,0.9867214195791619,4.4
50,Fab Melo,0.9779989209280019,0.5933097536118938,0.9637611653977579,4.4
52,Jaxson Hayes,0.9538396978598406,0.7218092440501169,0.9175409148132606,4.3
53,Richaun Holmes,0.9616629698459325,0.7218092440501169,0.4891793057970146,4.3
55,Willie Reed,0.8785744259936454,0.7925484083688028,0.6779269827947965,4.2
57,Andre Drummond,0.9419399316587734,0.8222528625382172,0.8272585576404292,4.1
58,Damian Jones,0.7818775852766621,0.3117019363347521,0.9637611653977579,4.1
59,Alex Len,0.8895150170853067,0.3117019363347521,0.9867214195791619,4.1
60,James Michael McAdoo,0.5121695342005875,0.9370241592230681,0.6779269827947965,4.1
61,Daniel Orton,0.9538396978598406,0.9270127690186439,0.9175409148132606,4.1
62,Tony Bradley,0.6706732210299142,0.49799172711468137,0.9175409148132606,4.0
63,Dewayne Dedmon,0.9437683592110785,0.9635513458425754,0.9637611653977579,4.0
64,Derrick Favors,0.8824710748756069,0.8222528625382172,0.8272585576404292,4.0
65,Josh Huestis,0.7818775852766621,0.49799172711468137,0.31553863677237576,4.0
66,Jerami Grant,0.4241352436904262,0.7925484083688028,0.4891793057970146,3.8
67,Donta Hall,0.7960853665847372,0.49799172711468137,0.6779269827947965,3.8
68,Terrence Jones,0.7740243390684012,0.9521611414183802,0.6779269827947965,3.8
70,Thomas Bryant,0.7657814279719442,0.7587674599844134,0.8272585576404292,3.7
71,Gorgui Dieng,0.9316587734548288,0.9453869672082009,0.9175409148132606,3.7
72,Jeremy Evans,0.8584916971404593,0.8474611833822913,0.6779269827947965,3.7
74,Amile Jefferson,0.7818775852766621,0.6380612673101133,0.6779269827947965,3.7
76,Naz Reid,0.46205263473412866,0.7218092440501169,0.8272585576404292,3.7
78,Stephen Zimmerman,0.8584916971404593,0.49799172711468137,0.9637611653977579,3.7
79,Wendell Carter Jr.,0.8744379833343324,0.7925484083688028,0.8272585576404292,3.6
80,Marquese Chriss,0.7818775852766621,0.8474611833822913,0.6779269827947965,3.6
81,Nicolas Claxton,0.8895150170853067,0.8474611833822913,0.9175409148132606,3.6
